semester_raw,midterm,chapter,n_events,n_students,n_problems
F24,mid2,conditional,33241,146,118
F24,mid2,debugging,30163,144,18
F24,mid2,strings,21833,146,170
F24,mid2,variables,15201,142,152
F24,mid2,exp,14075,133,8
F24,mid2,lists,13609,146,158
F24,mid2,bsoup,13515,141,23
F24,mid2,tuples,9962,146,112
F24,mid2,web,1894,144,63
F24,mid2,intro,1634,144,58
F24,mid2,pi_no_chapter,1330,144,1
F24,mid2,_hidden,684,138,4
F24,mid2,database,2,1,2
F24,mid2,pictures,1,1,1
F25,mid1,turtles,906308,125,143
F25,mid1,functions,383742,125,425
F25,mid1,dictionaries,338011,125,103
F25,mid1,classes-basics,321460,125,123
F25,mid1,files,287395,125,113
F25,mid1,conditional,263404,125,123
F25,mid1,objects,249793,125,79
F25,mid1,lists,247201,125,164
F25,mid1,iterations,209973,125,129
F25,mid1,inheritance,156027,125,109
F25,mid1,strings,132758,125,181
F25,mid1,exp,118131,125,11
F25,mid1,variables,41256,121,135
F25,mid1,debugging,34525,123,16
F25,mid1,tuples,28336,125,121
F25,mid1,intro,1944,121,58
F25,mid1,pi_no_chapter,465,117,1
F25,mid1,web,377,118,1
F25,mid1,_hidden,190,43,1
F25,mid1,regex,98,3,29
F25,mid1,database,76,1,28
F25,mid1,pictures,38,2,8
F25,mid1,bsoup,1,1,1
F25,mid2,turtles,913339,125,148
F25,mid2,dictionaries,799750,125,121
F25,mid2,files,697492,125,146
F25,mid2,conditional,420955,125,128
F25,mid2,functions,404695,125,451
F25,mid2,classes-basics,344221,125,134
F25,mid2,objects,304211,125,91
F25,mid2,regex,294326,125,171
F25,mid2,network,288594,125,119
F25,mid2,lists,249253,125,167
F25,mid2,iterations,236242,125,136
F25,mid2,inheritance,170400,125,118
F25,mid2,strings,136355,125,188
F25,mid2,tuples,127236,125,134
F25,mid2,exp,123003,125,11
F25,mid2,debugging,50422,125,16
F25,mid2,variables,46184,122,139
F25,mid2,bsoup,14034,123,60
F25,mid2,intro,2425,122,58
F25,mid2,web,1364,123,55
F25,mid2,pi_no_chapter,923,123,1
F25,mid2,_hidden,190,43,1
F25,mid2,database,78,1,28
F25,mid2,pictures,38,2,8
W22,mid1,functions,128449,125,409
W22,mid1,objects,75834,124,130
W22,mid1,turtles,60013,122,105
W22,mid1,classes-basics,52021,124,90
W22,mid1,inheritance,51952,121,97
W22,mid1,files,43370,124,99
W22,mid1,iterations,19839,124,102
W22,mid1,strings,18777,125,143
W22,mid1,lists,18674,119,138
W22,mid1,conditional,14752,124,110
W22,mid1,variables,8678,125,106
W22,mid1,dictionaries,7822,124,69
W22,mid1,tuples,7559,124,93
W22,mid1,network,5803,107,1
W22,mid1,exp,3311,110,7
W22,mid1,intro,740,124,58
W22,mid1,web,282,124,1
W22,mid1,debugging,110,4,14
W22,mid1,regex,45,1,1
W22,mid1,database,9,1,6
W22,mid2,functions,134010,121,413
W22,mid2,classes-basics,91366,121,106
W22,mid2,network,88482,121,138
W22,mid2,objects,77145,121,137
W22,mid2,turtles,65409,121,107
W22,mid2,files,54666,121,122
W22,mid2,inheritance,53342,121,100
W22,mid2,iterations,42655,121,111
W22,mid2,regex,42414,121,121
W22,mid2,web,32237,121,56
W22,mid2,conditional,25497,121,118
W22,mid2,strings,24047,121,150
W22,mid2,lists,21981,121,145
W22,mid2,dictionaries,16922,121,75
W22,mid2,bsoup,13227,116,77
W22,mid2,variables,9958,121,107
W22,mid2,tuples,9138,121,97
W22,mid2,exp,4743,121,8
W22,mid2,intro,732,121,58
W22,mid2,debugging,386,75,16
W22,mid2,mult-classes,348,121,1
W22,mid2,database,9,1,6
W23,mid1,functions,153687,190,442
W23,mid1,classes-basics,100042,190,150
W23,mid1,turtles,88693,190,135
W23,mid1,objects,85876,190,127
W23,mid1,files,72924,190,120
W23,mid1,inheritance,67175,190,96
W23,mid1,conditional,45164,190,135
W23,mid1,iterations,43601,190,147
W23,mid1,lists,35079,188,189
W23,mid1,dictionaries,16531,188,78
W23,mid1,variables,16394,184,157
W23,mid1,exp,11521,178,11
W23,mid1,strings,8127,189,140
W23,mid1,tuples,3276,188,81
W23,mid1,pi_no_chapter,901,184,1
W23,mid1,intro,811,168,58
W23,mid1,web,398,163,2
W23,mid1,debugging,186,7,14
W23,mid1,regex,60,1,11
W23,mid1,bsoup,45,3,4
W23,mid1,database,12,1,7
W23,mid1,network,6,1,1
W23,mid1,pictures,1,1,1
W23,mid2,functions,158463,189,472
W23,mid2,files,138032,189,159
W23,mid2,classes-basics,111668,189,166
W23,mid2,network,111012,189,170
W23,mid2,regex,109187,188,168
W23,mid2,turtles,98702,189,139
W23,mid2,inheritance,95995,189,129
W23,mid2,objects,89587,189,151
W23,mid2,iterations,63925,189,155
W23,mid2,conditional,60916,189,138
W23,mid2,dictionaries,57700,189,98
W23,mid2,lists,51755,189,196
W23,mid2,web,28120,187,49
W23,mid2,bsoup,23103,188,65
W23,mid2,variables,18600,184,157
W23,mid2,exp,14088,189,11
W23,mid2,strings,10672,189,146
W23,mid2,tuples,6857,189,101
W23,mid2,pi_no_chapter,903,184,1
W23,mid2,intro,811,168,58
W23,mid2,debugging,719,126,15
W23,mid2,database,21,2,7
W23,mid2,pictures,1,1,1
W24,mid1,objects,70006,169,122
W24,mid1,files,54771,185,90
W24,mid1,functions,28136,185,329
W24,mid1,dictionaries,15625,185,74
W24,mid1,iterations,13058,157,79
W24,mid1,exp,10830,172,9
W24,mid1,conditional,7510,163,60
W24,mid1,classes-basics,5140,174,73
W24,mid1,lists,2792,173,125
W24,mid1,inheritance,2572,133,67
W24,mid1,tuples,2522,184,76
W24,mid1,turtles,1632,120,71
W24,mid1,variables,1215,160,105
W24,mid1,strings,1210,169,89
W24,mid1,debugging,583,17,14
W24,mid1,regex,530,5,40
W24,mid1,intro,464,169,8
W24,mid1,web,393,163,1
W24,mid1,pi_no_chapter,200,91,1
W24,mid1,network,33,1,10
W24,mid1,bsoup,1,1,1
W24,mid2,files,114761,185,132
W24,mid2,network,114621,187,130
W24,mid2,regex,111212,186,164
W24,mid2,objects,72336,187,126
W24,mid2,dictionaries,52718,187,86
W24,mid2,functions,40154,187,354
W24,mid2,inheritance,31802,187,86
W24,mid2,lists,26226,187,132
W24,mid2,iterations,25425,187,89
W24,mid2,bsoup,25107,180,59
W24,mid2,classes-basics,17345,187,82
W24,mid2,conditional,16454,187,66
W24,mid2,exp,10916,172,9
W24,mid2,turtles,9959,187,94
W24,mid2,debugging,6097,172,14
W24,mid2,tuples,5452,187,84
W24,mid2,strings,4192,187,96
W24,mid2,variables,1838,161,116
W24,mid2,web,1309,173,46
W24,mid2,intro,522,169,26
W24,mid2,pi_no_chapter,260,104,1
