midterm,practice_group,n_student_midterms,mean_actual_score,median_actual_score
mid1,Finished timed practice,733,77.12137339095956,80.59701492537313
mid1,No timed practice,226,71.73915642130379,75.93103448275862
mid1,Started only,202,72.89724606159352,76.12962962962962
mid2,Finished timed practice,570,68.68121637384627,70.80128205128206
mid2,No timed practice,405,65.49697474224513,68.5
mid2,Started only,178,65.63208491969495,66.15277777777777
