semester_raw,semester,midterm,n_students,mean_score_pct,median_score_pct,mean_coverage_pct
F21,Fall 2021,mid1,103,77.80091050897164,82.32876712328768,96.68857502872373
F21,Fall 2021,mid2,102,65.22199039159823,66.0,86.32257649073719
F22,Fall 2022,mid1,145,78.94891021558371,82.42424242424242,96.78445780211632
F22,Fall 2022,mid2,145,65.7235517905611,68.62068965517241,90.6122113740131
F23,Fall 2023,mid1,148,73.431222457858,75.89399744572158,94.63889737360607
F23,Fall 2023,mid2,146,69.34876044616809,72.5,91.55876998592787
F24,Fall 2024,mid1,146,71.81619646786743,75.69624819624819,94.42762547767845
F24,Fall 2024,mid2,145,66.7239403783449,69.51219512195121,99.33179372488094
F25,Fall 2025,mid1,125,78.71853642390926,83.33333333333334,96.97598960060675
F25,Fall 2025,mid2,126,73.02971324396073,75.04385964912281,98.86674136585253
W22,Winter 2022,mid1,124,78.63893084202388,81.18181818181819,96.77733697537288
W22,Winter 2022,mid2,120,71.58787617326563,73.48949579831933,89.22054293123622
W23,Winter 2023,mid1,187,78.86415603574002,82.75862068965517,93.58051578402622
W23,Winter 2023,mid2,186,68.00373317299095,70.0,91.20296368954862
W24,Winter 2024,mid1,183,67.29806952672979,69.43573667711598,93.53983572981457
W24,Winter 2024,mid2,183,59.74670726844363,61.66666666666667,93.79939620313716
