feature,n,within_group_rank_corr,top_quartile_minus_bottom_quartile_pct_points
parsons__total_events__change,1139,0.1251522551269939,3.2628749463159723
parsons__scored_events__change,1139,0.12445969716578965,3.7767126447268
fillb__active_days__change,1139,0.09203580055973191,3.019516164629784
clickable__active_days__change,1102,0.09014556426439567,3.392949547682524
dragndrop__active_days__change,1134,0.08975177779784918,2.202957474792151
parsons__active_days__change,1139,0.08792579282612357,2.5933108763210626
all_activity__scored_events__change,1140,0.08769724609148107,3.0120109141481253
mchoice__avg_event_score__change,1140,0.08252915364838892,2.916820586885441
dragndrop__scored_events__change,1134,0.08183661943775439,2.636142064829478
dragndrop__total_events__change,1134,0.08178494076022269,2.6799115665205404
activecode__mean_score_gain__change,1139,0.07968957530064479,2.6556832727611086
parsons__mean_best_score__change,1139,0.07932411065373886,2.4394462210942285
conceptcheck__total_events__change,1140,0.07914420406536748,2.1471241196682636
all_activity__total_events__change,1140,0.07761144617593262,2.9743667323194583
clickable__total_events__change,1102,0.07684855487854463,2.8144662536346843
mchoice__mean_first_score__change,1140,0.07625929131692136,1.696058761675583
learning__mean_first_score__change,1140,0.07466960060120552,2.316463738510129
mchoice__active_days__change,1140,0.07398161630685596,1.969298560057985
clickable__scored_events__change,1102,0.07276810078180658,2.5470659252624195
conceptcheck__active_days__change,1140,0.07269585906044342,1.2834083341347409
all_activity__avg_event_score__change,1140,0.07004368366201906,1.713128629900627
parsons__mean_last_score__change,1139,0.06704941431291662,1.9826875443439524
all_activity__active_days__change,1140,0.06702497181814976,2.4776636763136946
activecode__mean_best_score__change,1139,0.0665635242875544,2.2526873272439154
activecode__mean_last_score__change,1139,0.06595851744611746,2.2141172496968577
fillb__avg_event_score__change,1139,0.0649412501062012,1.5988311582409223
dragndrop__problems_seen__change,1134,0.06260244042485086,2.0776445584302277
dragndrop__unique_problems__change,1134,0.06260244042485086,2.0776445584302277
dragndrop__scored_problems__change,1134,0.06189743049456583,2.059843109634622
mchoice__unique_problems__change,1140,0.06175673325218527,1.542976835661035
mchoice__problems_seen__change,1140,0.06175673325218527,1.542976835661035
mchoice__scored_problems__change,1140,0.06175673325218527,1.542976835661035
