semester_raw,anon_student_id,midterm,exam_start,score_pct,timed_practice_starts,timed_practice_finishes,scored_practice_attempts,best_practice_direct_score_pct,latest_practice_direct_score_pct,median_practice_direct_items,did_timed_practice,finished_timed_practice,practice_group,cohort,exam_score_rank_pct,practice_score_rank_pct,practice_quality_band
F21,19,mid1,2021-10-06 17:01:05.000000,56.493506493506494,0,0,0,,,,False,False,No timed practice,F21_mid1,7.766990291262135,,
F21,19,mid2,2021-11-03 17:00:31.000000,60.96153846153845,0,0,0,,,,False,False,No timed practice,F21_mid2,34.31372549019608,,
F21,20,mid1,2021-10-06 17:00:29.000000,88.0564263322884,1,0,0,,,,True,False,Started only,F21_mid1,79.6116504854369,,
F21,20,mid2,2021-11-03 16:59:27.000000,62.8,1,0,0,,,,True,False,Started only,F21_mid2,41.17647058823529,,
F21,21,mid1,2021-10-06 17:00:01.000000,84.13793103448275,1,1,1,95.76923076923076,95.76923076923076,26.0,True,True,Finished timed practice,F21_mid1,61.165048543689316,98.24561403508771,Top quartile
F21,21,mid2,2021-11-03 17:00:02.000000,77.6,1,1,1,84.31372549019608,84.31372549019608,34.0,True,True,Finished timed practice,F21_mid2,84.31372549019608,65.51724137931035,Middle half
F21,22,mid1,2021-10-06 17:01:11.000000,82.33333333333334,1,1,1,91.6,91.6,25.0,True,True,Finished timed practice,F21_mid1,51.45631067961165,80.7017543859649,Top quartile
F21,22,mid2,2021-11-03 17:03:38.000000,76.53846153846153,1,0,0,,,,True,False,Started only,F21_mid2,81.37254901960785,,
F21,24,mid1,2021-10-06 17:02:00.000000,58.620689655172406,0,0,0,,,,False,False,No timed practice,F21_mid1,9.70873786407767,,
F21,24,mid2,2021-11-03 17:00:40.000000,46.8,0,0,0,,,,False,False,No timed practice,F21_mid2,7.352941176470589,,
F21,25,mid1,2021-10-06 16:58:53.000000,74.06060606060606,1,1,1,91.92307692307692,91.92307692307692,26.0,True,True,Finished timed practice,F21_mid1,32.038834951456316,85.08771929824562,Top quartile
F21,25,mid2,2021-11-03 16:59:59.000000,68.07692307692308,1,0,0,,,,True,False,Started only,F21_mid2,57.35294117647059,,
F21,26,mid1,2021-10-06 17:00:22.000000,86.20689655172413,1,0,0,,,,True,False,Started only,F21_mid1,71.84466019417476,,
F21,26,mid2,2021-11-03 17:01:38.000000,64.0,0,0,0,,,,False,False,No timed practice,F21_mid2,45.588235294117645,,
F21,27,mid1,2021-10-06 17:00:15.000000,48.275862068965516,1,0,0,,,,True,False,Started only,F21_mid1,1.9417475728155338,,
F21,27,mid2,2021-11-03 17:00:30.000000,53.6,1,0,0,,,,True,False,Started only,F21_mid2,17.647058823529413,,
F21,28,mid1,2021-10-06 17:00:47.000000,91.03448275862068,1,1,1,96.15384615384616,96.15384615384616,26.0,True,True,Finished timed practice,F21_mid1,94.1747572815534,100.0,Top quartile
F21,28,mid2,2021-11-03 17:05:32.000000,78.8,1,0,0,,,,True,False,Started only,F21_mid2,86.27450980392157,,
F21,29,mid1,2021-10-06 17:00:16.000000,55.86206896551724,0,0,0,,,,False,False,No timed practice,F21_mid1,5.825242718446602,,
F21,29,mid2,2021-11-03 17:01:17.000000,52.0,1,1,1,91.41414141414141,91.41414141414141,33.0,True,True,Finished timed practice,F21_mid2,15.196078431372548,96.55172413793103,Top quartile
F21,30,mid1,2021-10-06 17:00:26.000000,71.33333333333333,1,1,1,44.4,44.4,25.0,True,True,Finished timed practice,F21_mid1,25.24271844660194,1.7543859649122806,Bottom quartile
F21,30,mid2,2021-11-03 17:00:03.000000,50.38461538461539,1,1,1,61.76470588235294,61.76470588235294,34.0,True,True,Finished timed practice,F21_mid2,11.76470588235294,20.689655172413794,Bottom quartile
F21,31,mid1,2021-10-06 17:04:33.000000,58.96551724137932,0,0,0,,,,False,False,No timed practice,F21_mid1,10.679611650485436,,
F21,31,mid2,2021-11-03 17:06:27.000000,62.4,0,0,0,,,,False,False,No timed practice,F21_mid2,39.21568627450981,,
F21,32,mid1,2021-10-06 17:00:27.000000,93.10344827586206,1,1,1,88.07692307692308,88.07692307692308,26.0,True,True,Finished timed practice,F21_mid1,97.57281553398059,70.17543859649122,Middle half
F21,32,mid2,2021-11-03 16:59:54.000000,72.0,0,0,0,,,,False,False,No timed practice,F21_mid2,65.19607843137256,,
