midterm,pct_used,family
mid1,99.74160206718346,Concept Checks
mid2,99.82653946227234,Concept Checks
mid1,99.82773471145563,Multiple Choice
mid2,99.82653946227234,Multiple Choice
mid1,99.65546942291128,Fill In Blank
mid2,99.82653946227234,Fill In Blank
mid1,99.13867355727821,Drag and Drop
mid2,99.7398091934085,Drag and Drop
mid1,99.65546942291128,ActiveCode
mid2,99.82653946227234,ActiveCode
mid1,99.65546942291128,Parsons
mid2,99.82653946227234,Parsons
