semester_raw,anon_student_id,session_id,midterm,practice_name,practice_direct_items,practice_direct_score_pct
F21,104,11764,mid1,Midterm1-Practice-Fall21-Timed,19,84.21052631578947
F21,104,11792,mid2,Mid2-Practice-Timed,30,86.66666666666667
F21,110,11979,mid1,Midterm1-Practice-Fall21-Timed,26,70.38461538461539
F21,110,12003,mid2,Mid2-Practice-Timed,33,63.63636363636363
F21,111,12044,mid1,Midterm1-Practice-Fall21-Timed,16,56.25
F22,1,63,mid1,Mid1-Fall22-Practice-Timed,26,90.76923076923077
F22,1,65,mid1,Practice-PI-Mid1-Fall22,20,90.0
F22,2,167,mid1,Mid1-Fall22-Practice-Timed,26,96.15384615384616
F22,2,178,mid1,Mid1-Fall22-Practice-Timed-15,26,91.92307692307692
F22,2,171,mid1,Mid1-Fall22-Practice-Timed-2,26,90.38461538461539
F22,2,169,mid1,Practice-PI-Mid1-Fall22,20,90.0
F22,2,199,mid2,Mid2_Fall22-Practice-Timed | PI-Practice-Mid-2,49,95.91836734693877
F22,3,313,mid1,Mid1-Fall22-Practice-Timed,25,79.0
F22,3,315,mid1,Practice-PI-Mid1-Fall22,19,78.94736842105263
F22,4,515,mid1,Mid1-Fall22-Practice-Timed-2,26,80.76923076923077
F22,4,524,mid1,Practice-PI-Mid1-Fall22,20,100.0
F22,4,574,mid2,Mid2_Fall22-Practice-Timed2,33,96.96969696969697
F22,4,568,mid2,PI-Practice-Mid-2,16,87.5
F22,5,656,mid1,Mid1-Fall22-Practice-Timed | Practice-PI-Mid1-Fall22,53,77.35849056603774
F22,6,783,mid1,Mid1-Fall22-Practice-Timed,26,96.15384615384616
F22,6,786,mid1,Practice-PI-Mid1-Fall22,20,95.0
F22,6,821,mid2,Mid2_Fall22-Practice-Timed | Mid2_Fall22-Practice-Timed2 | PI-Practice-Mid-2,52,86.53846153846155
F22,7,912,mid2,PI-Practice-Mid-2,1,0.0
F22,8,1019,mid1,Mid1-Fall22-Practice-Timed,26,88.46153846153845
F22,8,1010,mid1,Mid1-Fall22-Practice-Timed-2,26,74.23076923076923
F22,8,1013,mid1,Practice-PI-Mid1-Fall22,20,95.0
F22,8,1050,mid2,Mid2_Fall22-Practice-Timed,32,90.625
F22,8,1049,mid2,PI-Practice-Mid-2,16,87.5
F22,9,1145,mid1,Mid1-Fall22-Practice-Timed | Mid1-Fall22-Practice-Timed-2,26,75.3846153846154
F22,9,1147,mid1,Practice-PI-Mid1-Fall22,20,85.0
F22,9,1186,mid2,Mid2_Fall22-Practice-Timed,33,87.87878787878788
F22,9,1185,mid2,PI-Practice-Mid-2,16,75.0
F22,10,1279,mid1,Mid1-Fall22-Practice-Timed,26,92.3076923076923
F22,10,1282,mid1,Mid1-Fall22-Practice-Timed-2,21,85.71428571428571
F22,10,1278,mid1,Practice-PI-Mid1-Fall22,20,80.0
F22,10,1316,mid2,PI-Practice-Mid-2,16,93.75
F22,11,1475,mid1,Practice-PI-Mid1-Fall22,22,100.0
F22,11,1543,mid2,Mid2-Fall22-Practice-Timed,18,72.22222222222221
F22,11,1546,mid2,Mid2_Fall22-Practice-Timed,32,76.5625
F22,11,1548,mid2,PI-Practice-Mid-2,16,93.75
F22,12,1659,mid1,Mid1-Fall22-Practice-Timed,26,96.15384615384616
F22,12,1661,mid1,Practice-PI-Mid1-Fall22,20,100.0
F22,12,1687,mid2,Mid2_Fall22-Practice-Timed,33,87.87878787878788
F22,12,1689,mid2,PI-Practice-Mid-2,16,81.25
