semester_raw,anon_student_id,midterm,semester,normalized_midterm_name,n_items_observed,n_items_scored,score_points,score_pct,exam_start,exam_end,n_sessions,total_exam_minutes,coverage_pct
F21,101,mid2,Fall 2021,Fall 2021 Midterm 2,30,26,15.7,60.38461538461538,2021-11-03 17:00:25.000000,2021-11-03 18:20:56.000000,1,80.51666666666667,86.66666666666667
F21,102,mid1,Fall 2021,Fall 2021 Midterm 1,30,29,24.0,82.75862068965517,2021-10-06 17:14:37.000000,2021-10-06 18:26:54.000000,1,72.28333333333333,96.66666666666667
F21,102,mid2,Fall 2021,Fall 2021 Midterm 2,29,25,15.0,60.0,2021-11-03 17:16:49.000000,2021-11-03 18:30:26.000000,1,73.61666666666666,86.20689655172414
F21,103,mid1,Fall 2021,Fall 2021 Midterm 1,30,29,24.3,83.79310344827586,2021-10-06 17:00:09.000000,2021-10-06 18:20:27.000000,1,80.3,96.66666666666667
F21,103,mid2,Fall 2021,Fall 2021 Midterm 2,29,25,13.8,55.2,2021-11-03 16:59:47.000000,2021-11-03 18:18:39.000000,1,78.86666666666666,86.20689655172414
F21,104,mid1,Fall 2021,Fall 2021 Midterm 1,31,30,16.418181818181818,54.72727272727273,2021-10-06 17:00:23.000000,2021-10-06 18:20:41.000000,1,80.3,96.7741935483871
F21,104,mid2,Fall 2021,Fall 2021 Midterm 2,30,26,9.1,35.0,2021-11-03 17:01:07.000000,2021-11-03 18:21:26.000000,1,80.31666666666666,86.66666666666667
F21,105,mid1,Fall 2021,Fall 2021 Midterm 1,30,29,17.7,61.03448275862069,2021-10-06 17:01:03.000000,2021-10-06 18:21:12.000000,1,80.15,96.66666666666667
F21,105,mid2,Fall 2021,Fall 2021 Midterm 2,29,25,13.7,54.79999999999999,2021-11-03 17:05:42.000000,2021-11-03 18:23:58.000000,1,78.26666666666667,86.20689655172414
F21,110,mid1,Fall 2021,Fall 2021 Midterm 1,30,29,23.4,80.6896551724138,2021-10-06 17:00:43.000000,2021-10-06 18:35:44.000000,1,95.01666666666667,96.66666666666667
F21,110,mid2,Fall 2021,Fall 2021 Midterm 2,29,25,16.5,66.0,2021-11-03 17:01:01.000000,2021-11-03 18:21:08.000000,1,80.11666666666666,86.20689655172414
F21,111,mid1,Fall 2021,Fall 2021 Midterm 1,30,29,21.2,73.10344827586206,2021-10-06 16:59:06.000000,2021-10-06 18:01:53.000000,1,62.78333333333333,96.66666666666667
F21,111,mid2,Fall 2021,Fall 2021 Midterm 2,29,25,12.0,48.0,2021-11-03 16:58:58.000000,2021-11-03 17:48:12.000000,1,49.233333333333334,86.20689655172414
F22,1,mid1,Fall 2022,Fall 2022 Midterm 1,31,30,25.527272727272727,85.0909090909091,2022-10-06 14:05:07.570754,2022-10-06 15:06:56.782265,1,61.82019185,96.7741935483871
F22,1,mid2,Fall 2022,Fall 2022 Midterm 2,32,29,20.8,71.72413793103448,2022-11-03 13:59:52.191975,2022-11-03 15:06:14.266934,1,66.36791598333333,90.625
F22,2,mid1,Fall 2022,Fall 2022 Midterm 1,31,30,23.366666666666667,77.88888888888889,2022-10-06 14:05:07.594234,2022-10-06 15:25:08.323584,1,80.01215583333332,96.7741935483871
F22,2,mid2,Fall 2022,Fall 2022 Midterm 2,32,29,23.0,79.3103448275862,2022-11-03 14:00:02.461893,2022-11-03 15:10:52.030473,1,70.826143,90.625
F22,3,mid1,Fall 2022,Fall 2022 Midterm 1,31,30,21.81818181818182,72.72727272727273,2022-10-06 14:04:49.672697,2022-10-06 15:19:54.012722,1,75.07233375000001,96.7741935483871
F22,3,mid2,Fall 2022,Fall 2022 Midterm 2,32,29,20.9,72.06896551724138,2022-11-03 13:59:46.256669,2022-11-03 15:12:45.199398,1,72.98237881666667,90.625
